shards in the file:	1
""
\	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	76.8115942029%	59.2546583851%	45.9014959321%	35.7011635028%	27.8762509542%	21.8489534506%	17.1878433811%	13.5693500377%	10.7497448351%	8.54466897148%	6.81410310384%	5.45128248307%	4.37448594321%	3.52092771039%	2.84219465778%	2.30082424678%	1.86772791797%	1.52024365416%	1.24065861432%	1.0150843208%	0.832597251895%	0.68457996267%	0.564214254947%	0.466090036696%	0.385902503501%	0.32021697099%	0.266285691665%	0.221904743054%	0.185301898839%	0.1550485276%	0.129990179705%
69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	77.1428571429%	59.7585513078%	46.4788732394%	36.2917229404%	28.4448639262%	22.3766262886%	17.6657575963%	13.994950823%	11.1241916799%	8.8711908333%	7.09695266664%	5.69508547323%	4.58384928333%	3.70021568655%	2.99541269863%	2.4315703083%	1.97918513466%	1.61519706392%	1.32152487048%	1.08394736568%	0.891245611777%	0.73454308663%	0.606796462868%	0.502401372482%	0.416886245251%	0.346673824998%	0.288894854165%	0.241242094715%	0.201855630272%	0.169232498107%
70	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	77.4647887324%	60.2503912363%	47.0448260338%	36.8729717562%	29.0067377816%	22.9000561434%	18.1416029188%	14.4202484739%	11.4996918209%	9.19975345676%	7.38251820604%	5.94202684876%	4.79657588997%	3.88294238712%	3.15203558483%	2.56561035975%	2.09377397175%	1.71308779507%	1.4051169555%	1.15531838564%	0.952185482668%	0.786588007422%	0.651261038403%	0.540408095696%	0.449391995368%	0.374493329473%	0.31272123389%	0.261664705908%	0.219375460509%
71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	77.7777777778%	60.7305936073%	47.599654449%	37.4450614999%	29.5618906578%	23.4191601315%	18.6152298481%	14.8450567143%	11.8760453715%	9.53015986598%	7.67061647749%	6.19194342159%	5.012525627%	4.06899139133%	3.31196973713%	2.70287185444%	2.21144060818%	1.81387825165%	1.49141100691%	1.22918489581%	1.01541360958%	0.840718795029%	0.697617723535%	0.580124212203%	0.483436843502%	0.403694683749%	0.337785347627%	0.283193776293%
72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	78.0821917808%	61.1995557201%	48.1436504998%	38.0081451314%	30.1103487405%	23.9338669476%	19.0865014898%	15.2692011919%	12.2530626848%	9.86222118535%	7.96107011348%	6.44467580615%	5.23156036028%	4.25824680488%	3.47512095571%	2.84328078194%	2.3321291807%	1.91752843746%	1.58038058032%	1.30553178375%	1.08092416504%	0.896937073116%	0.745873987118%	0.621561655931%	0.519036021963%	0.434295446949%	0.364106283806%
73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	78.3783783784%	61.6576576577%	48.6770981508%	38.5623764571%	30.652145389%	24.4441159431%	19.5552927545%	15.6925188771%	12.6305639742%	10.1957564611%	8.25370761138%	6.70006853159%	5.45354415362%	4.45059350468%	3.64139468565%	2.98676193317%	2.45578203394%	2.02399618182%	1.67199684585%	1.38434147452%	1.14870888311%	0.955242123852%	0.79603510321%	0.664730343918%	0.556202940829%	0.466311556453%
74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	78.6666666667%	62.1052631579%	49.2002734108%	39.1079096342%	31.1873203412%	24.949856273%	20.0214896018%	16.1148574844%	13.0083789332%	10.5305924697%	8.54836329893%	6.95797012703%	5.678343437%	4.64591735755%	3.81069625956%	3.13323914675%	2.58233995611%	2.13323735505%	1.76622877784%	1.46559409225%	1.2187571925%	1.01563099375%	0.848104231895%	0.709638234851%	0.594949227198%
75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	78.9473684211%	62.5427204375%	49.7134444503%	39.6448987388%	31.7159189911%	25.4510461039%	20.4849883276%	16.536074915%	13.3863463598%	10.8665635156%	8.84487728013%	7.21823318263%	5.90582714943%	4.8441054147%	3.98293111875%	3.28263553743%	2.71174240049%	2.24520607352%	1.8630433376%	1.54926761759%	1.29105634799%	1.07809859987%	0.902082501929%	0.756291390506%
76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	79.2207792208%	62.9703629704%	50.2168717359%	40.1734973887%	32.2379917317%	25.9476518816%	20.9456948924%	16.9560387224%	13.7643137864%	11.2035112215%	9.14309536467%	7.48071438927%	6.13586685862%	5.04504608375%	4.15800501408%	3.43487370729%	2.84392769313%	2.3598548943%	1.96240564894%	1.63533804079%	1.36559155983%	1.14263783578%	0.957969094641%
77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	79.4871794872%	63.388510224%	50.7108081792%	40.6938584154%	32.7535933587%	26.439647651%	21.4035242889%	17.3746255992%	14.1421371157%	11.5412843128%	9.44286898318%	7.74527455924%	6.36833685982%	5.24862928007%	4.33582418788%	3.58987594051%	2.97883322723%	2.47713499949%	2.06427916624%	1.72377950995%	1.44234612057%	1.20923967684%
78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	79.746835443%	63.7974683544%	51.1954992968%	41.2061335803%	33.2627825287%	26.927014428%	21.8583999474%	17.7917208874%	14.5196802645%	11.8797383982%	9.74405509066%	8.0117786301%	6.60311425557%	5.45474655895%	4.51629553806%	3.74756438264%	3.11639564451%	2.59699637043%	2.1686258351%	1.81456447427%	1.52130152893%
79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	80.0%	64.1975308642%	51.6711833785%	41.7104733296%	33.7656212668%	27.4097396166%	22.3102531763%	18.2072181094%	14.8968148168%	12.2187357486%	10.04651606%	8.28009565381%	6.84007901837%	5.66329123026%	4.69932676554%	3.90786120502%	3.25655100419%	2.71938795195%	2.27540624551%	1.90766382199%
80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	80.2469135802%	64.5889792231%	52.138091662%	42.2070265836%	34.2621745208%	27.8878164704%	22.7590226368%	18.621018521%	15.2734196858%	12.558145075%	10.3501195673%	8.55009877296%	7.07911403783%	5.87415845692%	4.88482650628%	4.07068875523%	3.39923493994%	2.84425780689%	2.38457977749%
81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	80.487804878%	64.9720834558%	52.5964485118%	42.6959405567%	34.7525097554%	28.3612435935%	23.2046538492%	19.0330306853%	15.6493807857%	12.8978413069%	10.6547384709%	8.8216651856%	7.32010515401%	6.0872453386%	5.07270444883%	4.23596969438%	3.54438280551%	2.97155326118%
82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	80.7228915663%	65.3471026965%	53.0464716007%	43.1773606052%	35.2366965859%	28.8300244793%	23.6470987302%	19.4431700671%	16.0245907146%	13.237705373%	10.9602506851%	9.09467610043%	7.56294117826%	6.30245098188%	5.26287143848%	4.40362712199%	3.69192980935%
83	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	80.9523809524%	65.7142857143%	53.488372093%	43.6514300989%	35.7148064446%	29.2941670837%	24.0863151577%	19.8513586465%	16.3989484471%	13.5776239831%	11.2665390498%	9.36901668351%	7.80751390293%	6.51967655811%	5.45523956903%	4.57358468919%
84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	81.1764705882%	66.073871409%	53.9223548281%	44.1182903139%	36.1869122799%	29.7536834302%	24.5222665633%	20.2575245523%	16.7723590379%	13.9174894144%	11.5734911973%	9.64457599773%	8.0537181012%	6.73882534998%	5.64972226312%
85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	81.3953488372%	66.4260892809%	54.3486185026%	44.5780803448%	36.6530882835%	30.2085892447%	24.9549215499%	20.6616017134%	17.1447333366%	14.257199301%	11.8809994175%	9.92124693626%	8.30145151809%	6.9598027879%
86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	81.6091954023%	66.7711598746%	54.7673558522%	45.030937034%	37.1134096434%	30.6589036185%	25.3842535336%	21.0635295279%	17.5159877127%	14.5966564272%	12.1889605217%	10.1989261508%	8.5506148537%
87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	81.8181818182%	67.1092951992%	55.1787538304%	45.4769949152%	37.5679523212%	31.1046486961%	25.8102404074%	21.4632525493%	17.8860437911%	14.9357685266%	12.4972757059%	10.4775139757%
88	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	82.0224719101%	67.4406991261%	55.5829937852%	45.9163861704%	38.0167928508%	31.5458493868%	26.2328642269%	21.8607201891%	18.2548281992%	15.274448085%	12.8058504147%
89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	82.2222222222%	67.7655677656%	55.9802516324%	46.3492405989%	38.4600081565%	31.9825330986%	26.6521109155%	22.2558864346%	18.6222723228%	15.6126121494%
90	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	82.4175824176%	68.0840898232%	56.3706980257%	46.7756855958%	38.8976753902%	32.4147294918%	27.067969988%	22.6487095818%	18.9883120736%
91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	82.6086956522%	68.3964469378%	56.7544985229%	47.1958461401%	39.3298717834%	32.8424702521%	27.4804342926%	23.0391519827%
92	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	82.7956989247%	68.7028140014%	57.1318137485%	47.6098447904%	39.7566745157%	33.2657888805%	27.8894997685%
93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	82.9787234043%	69.0033594625%	57.5027995521%	48.0178016878%	40.1781605959%	33.6847204996%
94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	83.1578947368%	69.298245614%	57.8676071622%	48.4198345643%	40.5944067559%
95	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	83.3333333333%	69.587628866%	58.2263833368%	48.8160587571%
96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	83.5051546392%	69.8716600042%	58.5792705086%
97	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	83.6734693878%	70.1504844362%
98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	83.8383838384%
99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%
""
""
shards in the file:	17
""
\	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
17	100.0%	5.55555555556%	0.584795321637%	0.0877192982456%	0.0167084377611%	0.00379737221842%	0.000990618839589%	0.00028893049488%	9.24577583616e-05%	3.20046086636e-05%	1.18535587643e-05%	4.65675522884e-06%	1.92693319814e-06%	8.35004385861e-07%	3.77098754905e-07%	1.76765041362e-07%	8.57042624784e-08%	4.28521312392e-08%	2.2038238923e-08%	1.16312927649e-08%	6.28718527833e-09%	3.4744971275e-09%	1.95997273859e-09%	1.12698432469e-09%	6.59698141282e-10%	3.92677465049e-10%	2.37432885843e-10%	1.45697452677e-10%	9.06561927765e-11%	5.71528171852e-11%	3.64805216076e-11%	2.35603368716e-11%	1.53863424467e-11%	1.01549860148e-11%	6.76999067656e-12%	4.55672449384e-12%	3.09513361846e-12%	2.12073970154e-12%	1.46523833924e-12%	1.0204338434e-12%	7.16093925194e-13%	5.0620432643e-13%	3.60348842544e-13%	2.58250003823e-13%	1.86278691282e-13%	1.35202275931e-13%	9.8719122108e-14%	7.24968552981e-14%	5.3536139297e-14%	3.97465276599e-14%	2.96615878059e-14%	2.22461908544e-14%	1.67652452816e-14%	1.26936857132e-14%	9.65435251427e-15%	7.37485261507e-15%	5.65742118416e-15%	4.35774334456e-15%	3.36998818646e-15%	2.61617503949e-15%	2.03857795285e-15%	1.59427250159e-15%	1.25120120378e-15%	9.85320947974e-16%	7.78525193461e-16%	6.17123628963e-16%	4.90724813392e-16%	3.91411458301e-16%	3.13129166641e-16%	2.51231540677e-16%	2.02140320085e-16%	1.63090485523e-16%	1.31938370311e-16%	1.07016678141e-16%	8.70245514552e-17%	7.09439278168e-17%	5.7975682947e-17%	4.74907190098e-17%	3.89923798186e-17%	3.20874792257e-17%	2.64639003923e-17%	2.18732237937e-17%	1.81172156675e-17%
18	-	100.0%	10.5263157895%	1.57894736842%	0.300751879699%	0.0683526999316%	0.0178311391126%	0.00520074890784%	0.00166423965051%	0.000576082955946%	0.000213364057758%	8.38215941191e-05%	3.46847975665e-05%	1.50300789455e-05%	6.78777758829e-06%	3.18177074451e-06%	1.54267672461e-06%	7.71338362305e-07%	3.96688300614e-07%	2.09363269769e-07%	1.1316933501e-07%	6.2540948295e-08%	3.52795092946e-08%	2.02857178444e-08%	1.18745665431e-08%	7.06819437087e-09%	4.27379194518e-09%	2.62255414818e-09%	1.63181146998e-09%	1.02875070933e-09%	6.56649388936e-10%	4.24086063688e-10%	2.76954164041e-10%	1.82789748267e-10%	1.21859832178e-10%	8.20210408891e-11%	5.57124051322e-11%	3.81733146276e-11%	2.63742901064e-11%	1.83678091812e-11%	1.28896906535e-11%	9.11167787574e-12%	6.48627916578e-12%	4.64850006881e-12%	3.35301644308e-12%	2.43364096675e-12%	1.77694419794e-12%	1.30494339537e-12%	9.63650507347e-13%	7.15437497879e-13%	5.33908580506e-13%	4.0043143538e-13%	3.01774415069e-13%	2.28486342838e-13%	1.73778345257e-13%	1.32747347071e-13%	1.01833581315e-13%	7.84393802021e-14%	6.06597873563e-14%	4.70911507108e-14%	3.66944031513e-14%	2.86969050285e-14%	2.2521621668e-14%	1.77357770635e-14%	1.40134534823e-14%	1.11082253213e-14%	8.83304664106e-15%	7.04540624942e-15%	5.63632499953e-15%	4.52216773218e-15%	3.63852576153e-15%	2.93562873941e-15%	2.37489066559e-15%	1.92630020654e-15%	1.56644192619e-15%	1.2769907007e-15%	1.04356229305e-15%	8.54832942177e-16%	7.01862836735e-16%	5.77574626063e-16%	4.76350207062e-16%	3.93718028286e-16%	3.26109882015e-16%
19	-	-	100.0%	15.0%	2.85714285714%	0.649350649351%	0.16939582157%	0.0494071146245%	0.0158102766798%	0.00547278808148%	0.0020269585487%	0.000796305144131%	0.000329505576882%	0.000142785749982%	6.44838870887e-05%	3.02268220728e-05%	1.46554288838e-05%	7.3277144419e-06%	3.76853885583e-06%	1.9889510628e-06%	1.0751086826e-06%	5.94139008803e-07%	3.35155338299e-07%	1.92714319522e-07%	1.12808382159e-07%	6.71478465233e-08%	4.06010234792e-08%	2.49142644077e-08%	1.55022089648e-08%	9.77313173867e-09%	6.2381691949e-09%	4.02881760504e-09%	2.63106455839e-09%	1.73650260854e-09%	1.15766840569e-09%	7.79199888447e-10%	5.29267848756e-10%	3.62646488963e-10%	2.50555756011e-10%	1.74494187222e-10%	1.22452061208e-10%	8.65609398196e-11%	6.16196520749e-11%	4.41607506537e-11%	3.18536562092e-11%	2.31195891841e-11%	1.68809698805e-11%	1.2396962256e-11%	9.15467981979e-12%	6.79665622985e-12%	5.07213151481e-12%	3.80409863611e-12%	2.86685694315e-12%	2.17062025696e-12%	1.65089427994e-12%	1.26109979718e-12%	9.67419022492e-13%	7.4517411192e-13%	5.76267979884e-13%	4.47365931752e-13%	3.48596829937e-13%	2.72620597771e-13%	2.13955405846e-13%	1.68489882104e-13%	1.33127808082e-13%	1.05528140553e-13%	8.39139430901e-14%	6.69313593694e-14%	5.35450874956e-14%	4.29605934557e-14%	3.45659947345e-14%	2.78884730244e-14%	2.25614613231e-14%	1.82998519621e-14%	1.48811982988e-14%	1.21314116567e-14%	9.91384178394e-15%	8.12091295068e-15%	6.66769694898e-15%	5.4869589476e-15%	4.52532696709e-15%	3.74032126872e-15%	3.09804387914e-15%
20	-	-	-	100.0%	19.0476190476%	4.329004329%	1.12930547713%	0.329380764163%	0.105401844532%	0.0364852538766%	0.0135130569913%	0.00530870096087%	0.00219670384588%	0.000951904999881%	0.000429892580591%	0.000201512147152%	9.77028592253e-05%	4.88514296127e-05%	2.51235923722e-05%	1.3259673752e-05%	7.1673912173e-06%	3.96092672535e-06%	2.23436892199e-06%	1.28476213015e-06%	7.52055881061e-07%	4.47652310155e-07%	2.70673489861e-07%	1.66095096051e-07%	1.03348059765e-07%	6.51542115911e-08%	4.15877946326e-08%	2.68587840336e-08%	1.75404303893e-08%	1.15766840569e-08%	7.71778937128e-09%	5.19466592298e-09%	3.52845232504e-09%	2.41764325975e-09%	1.67037170674e-09%	1.16329458148e-09%	8.16347074721e-10%	5.7707293213e-10%	4.107976805e-10%	2.94405004358e-10%	2.12357708062e-10%	1.54130594561e-10%	1.12539799203e-10%	8.26464150398e-11%	6.10311987986e-11%	4.53110415323e-11%	3.38142100987e-11%	2.53606575741e-11%	1.9112379621e-11%	1.44708017131e-11%	1.10059618663e-11%	8.40733198118e-12%	6.44946014995e-12%	4.9678274128e-12%	3.84178653256e-12%	2.98243954502e-12%	2.32397886625e-12%	1.81747065181e-12%	1.4263693723e-12%	1.12326588069e-12%	8.87518720545e-13%	7.03520937018e-13%	5.59426287267e-13%	4.46209062463e-13%	3.5696724997e-13%	2.86403956372e-13%	2.30439964897e-13%	1.85923153496e-13%	1.50409742154e-13%	1.21999013081e-13%	9.9207988659e-14%	8.08760777111e-14%	6.60922785596e-14%	5.41394196712e-14%	4.44513129932e-14%	3.65797263173e-14%	3.01688464473e-14%	2.49354751248e-14%	2.06536258609e-14%
21	-	-	-	-	100.0%	22.7272727273%	5.92885375494%	1.72924901186%	0.553359683794%	0.191547582852%	0.0709435492044%	0.0278706800446%	0.0115326951909%	0.00499750124938%	0.0022569360481%	0.00105793877255%	0.000512940010933%	0.000256470005466%	0.000131898859954%	6.9613287198e-05%	3.76288038908e-05%	2.07948653081e-05%	1.17304368405e-05%	6.74500118327e-06%	3.94829337557e-06%	2.35017462832e-06%	1.42103582177e-06%	8.71999254269e-07%	5.42577313768e-07%	3.42059610853e-07%	2.18335921821e-07%	1.41008616176e-07%	9.20872595437e-08%	6.07775912988e-08%	4.05183941992e-08%	2.72719960956e-08%	1.85243747065e-08%	1.26926271137e-08%	8.76945146037e-09%	6.10729655276e-09%	4.28582214229e-09%	3.02963289368e-09%	2.15668782262e-09%	1.54562627288e-09%	1.11487796732e-09%	8.09185621444e-10%	5.90833945816e-10%	4.33893678959e-10%	3.20413793693e-10%	2.37882968045e-10%	1.77524603018e-10%	1.33143452264e-10%	1.0033999301e-10%	7.59717089936e-11%	5.77812997979e-11%	4.41384929012e-11%	3.38596657872e-11%	2.60810939172e-11%	2.0169379296e-11%	1.56578076113e-11%	1.22008890478e-11%	9.54172092199e-12%	7.4884392046e-12%	5.89714587362e-12%	4.65947328286e-12%	3.69348491934e-12%	2.93698800815e-12%	2.34259757793e-12%	1.87407806234e-12%	1.50362077095e-12%	1.20980981571e-12%	9.76096555855e-13%	7.8965114631e-13%	6.40494818673e-13%	5.2084194046e-13%	4.24599407983e-13%	3.46984462438e-13%	2.84231953274e-13%	2.33369393214e-13%	1.92043563166e-13%	1.58386443848e-13%	1.30911244405e-13%	1.0843153577e-13%
